Lots Pending Release,,,,,,,,,,Total Vials Pending Release,,
Skus ,Lot,BUD,Qnty,Date Inspection,Date AQL,Date Label,Date Testing Return,Date Final Plate Check,,Sku,Total,
Semaglutide 12.5mg/5mL,PRORX02162026@3,16-Feb-2027,2700,17-Mar-2026,17-Mar-2026,17-Mar-2026,23-Feb-2026,23-Feb-2026,,Cyanocobalamin 10mg/10mL,,
Semaglutide 12.5mg/5mL,PRORX02162026@4,16-Feb-2027,2700,17-Mar-2026,17-Mar-2026,17-Mar-2026,23-Feb-2026,23-Feb-2026,,Glutathione 2000mg/10mL ,,
Semaglutide 6.75mg/1.5mL,PRORX02172026@4,17-Feb-2026,2700,17-Mar-2026,17-Mar-2026,17-Mar-2026,24-Feb-2026,24-Feb-2026,,Glutathione 6000mg/30mL,,
Tirzepatide 72mg/4mL,PRORX02192026@4,19-Feb-2027,2700,5-Mar-2026,6-Mar-2026,6-Mar-2026,26-Feb-2026,26-Feb-2026,,Gonadorelin 10mg/5mL,,
Tirzepatide 72mg/4mL,PRORX02202026@1,20-Feb-2027,2700,7-Mar-2026,7-Mar-2026,7-Mar-2026,27-Feb-2026,27-Feb-2026,,Gonadorelin 2mg/mL,,
Tirzepatide 72mg/4mL,PRORX02202026@2,20-Feb-2027,2700,7-Mar-2026,7-Mar-2026,7-Mar-2026,27-Feb-2026,27-Feb-2026,,Gonadorelin 6mg/6mL,,
Tirzepatide 72mg/4mL,PRORX02202026@3,20-Feb-2027,2700,7-Mar-2026,7-Mar-2026,7-Mar-2026,27-Feb-2026,27-Feb-2026,,MIC,,
Tirzepatide 72mg/4mL,PRORX02202026@4,20-Feb-2027,2700,9-Mar-2026,9-Mar-2026,9-Mar-2026,27-Feb-2026,27-Feb-2026,,NAD Sublinguals,160,
Tirzepatide 72mg/4mL,PRORX02242026@1,24-Feb-2027,2700,9-Mar-2026,9-Mar-2026,9-Mar-2026,3-Mar-2026,3-Mar-2026,,NAD+ 1000mg/10mL,2700,
Tirzepatide 72mg/4mL,PRORX02242026@2,24-Feb-2027,2700,9-Mar-2026,9-Mar-2026,9-Mar-2026,3-Mar-2026,3-Mar-2026,,NAD+ 1200mg/6mL ,5400,
NAD+ 1200mg/6mL,PRORX02242026@3,24-Feb-2027,2700,6-Mar-2026,6-Mar-2026,6-Mar-2026,3-Mar-2026,3-Mar-2026,,NAD+ 500mg/2.5mL,10800,
