Lots Pending Release,,,,,,,,,,Total Vials Pending Release,,
Skus ,Lot,BUD,Qnty,Date Inspection,Date AQL,Date Label,Date Testing Return,Date Final Plate Check,,Sku,Total,
Tirzepatide 72mg/4mL,PRORX02192026@1,19-Feb-2027,2700,4-Mar-2026,4-Mar-2026,4-Mar-2026,26-Feb-2026,26-Feb-2026,,Cyanocobalamin 10mg/10mL,,
Tirzepatide 72mg/4mL,PRORX02192026@2,19-Feb-2027,2700,4-Mar-2026,4-Mar-2026,4-Mar-2026,26-Feb-2026,26-Feb-2026,,Glutathione 2000mg/10mL ,,
Tirzepatide 72mg/4mL,PRORX02192026@3,19-Feb-2027,2700,4-Mar-2026,4-Mar-2026,4-Mar-2026,26-Feb-2026,26-Feb-2026,,Glutathione 6000mg/30mL,,
NAD+ 1200mg/6mL,PRORX02242026@3,24-Feb-2027,2700,4-Mar-2026,4-Mar-2026,4-Mar-2026,3-Mar-2026,3-Mar-2026,,Gonadorelin 10mg/5mL,,
Tirzepatide 18mg/2mL,PRORX02262026@2,26-Feb-2027,2700,4-Mar-2026,4-Mar-2026,5-Mar-2026,5-Mar-2026,5-Mar-2026,,Gonadorelin 2mg/mL,,
Tirzepatide 72mg/4mL,PRORX02192026@4,19-Feb-2027,2700,5-Mar-2026,5-Mar-2026,5-Mar-2026,26-Feb-2026,26-Feb-2026,,Gonadorelin 6mg/6mL,,
Tirzepatide 72mg/4mL,PRORX02202026@1,20-Feb-2027,2700,5-Mar-2026,5-Mar-2026,5-Mar-2026,27-Feb-2026,27-Feb-2026,,MIC,,
Tirzepatide 45mg/2.5mL,PRORX02272026@3,27-Feb-2027,2700,5-Mar-2026,5-Mar-2026,6-Mar-2026,6-Mar-2026,6-Mar-2026,,NAD Sublinguals,,
Tirzepatide 54mg/3mL,PRORX02272026@4,27-Feb-2027,2700,5-Mar-2026,5-Mar-2026,6-Mar-2026,6-Mar-2026,6-Mar-2026,,NAD+ 1000mg/10mL,2700,
Tirzepatide 72mg/4mL,PRORX02202026@2,20-Feb-2027,2700,6-Mar-2026,6-Mar-2026,6-Mar-2026,27-Feb-2026,27-Feb-2026,,NAD+ 1200mg/6mL ,5400,
Tirzepatide 72mg/4mL,PRORX02202026@3,20-Feb-2027,2700,6-Mar-2026,6-Mar-2026,6-Mar-2026,27-Feb-2026,27-Feb-2026,,NAD+ 500mg/2.5mL,5400,
Tirzepatide 36mg/2mL ,PRORX02282026@1,28-Feb-2027,2700,6-Mar-2026,6-Mar-2026,7-Mar-2026,7-Mar-2026,7-Mar-2026,,Phenylephrine 2mg/2mL,,
Tirzepatide 36mg/2mL ,PRORX02282026@2,28-Feb-2027,2700,6-Mar-2026,6-Mar-2026,7-Mar-2026,7-Mar-2026,7-Mar-2026,,Semaglutide 2.25mg/2.5mL,,
Tirzepatide 72mg/4mL,PRORX02202026@4,20-Feb-2027,2700,7-Mar-2026,7-Mar-2026,7-Mar-2026,27-Feb-2026,27-Feb-2026,,Semaglutide 4.5mg/2mL,,
Tirzepatide 72mg/4mL,PRORX02242026@1,24-Feb-2027,2700,7-Mar-2026,7-Mar-2026,7-Mar-2026,3-Mar-2026,3-Mar-2026,,Semaglutide 4.5mg/5mL,,
Tirzepatide 72mg/4mL,PRORX02242026@2,24-Feb-2027,2700,9-Mar-2026,9-Mar-2026,9-Mar-2026,3-Mar-2026,3-Mar-2026,,Semaglutide 6.75mg/1.5mL,2700,
Tirzepatide 72mg/4mL,PRORX02252026@1,25-Feb-2027,2700,9-Mar-2026,9-Mar-2026,9-Mar-2026,4-Mar-2026,4-Mar-2026,,Semaglutide 9mg/2mL,,
Tirzepatide 72mg/4mL,PRORX02252026@2,25-Feb-2027,2700,9-Mar-2026,9-Mar-2026,9-Mar-2026,4-Mar-2026,4-Mar-2026,,Semaglutide12.5mg/5mL ,5400,
NAD+ 500mg/2.5mL,PRORX02252026@3,25-Feb-2027,2700,9-Mar-2026,9-Mar-2026,9-Mar-2026,4-Mar-2026,4-Mar-2026,,Sermorelin 15mg/6mL ,,
NAD+ 500mg/2.5mL,PRORX02252026@4,25-Feb-2027,2700,10-Mar-2026,10-Mar-2026,10-Mar-2026,4-Mar-2026,4-Mar-2026,,Sermorelin 8mg/3.2mL ,,
Tirzepatide 72mg/4mL,PRORX02262026@1,26-Feb-2027,2700,10-Mar-2026,10-Mar-2026,10-Mar-2026,5-Mar-2026,5-Mar-2026,,Sermorelin 9mg/3.6mL ,,
NAD+ 1200mg/6mL,PRORX02262026@3,25-Aug-2026,2700,10-Mar-2026,10-Mar-2026,10-Mar-2026,5-Mar-2026,5-Mar-2026,,Testosterone Sublingual,,
Tirzepatide 72mg/4mL,PRORX02272026@1,27-Feb-2027,2700,10-Mar-2026,10-Mar-2026,10-Mar-2026,6-Mar-2026,6-Mar-2026,,Tirzepatide 18mg/4mL,5400,
Tirzepatide 72mg/4mL,PRORX02272026@2,27-Feb-2027,2700,11-Mar-2026,11-Mar-2026,11-Mar-2026,6-Mar-2026,6-Mar-2026,,Tirzepatide 27mg/mL,2700,
Tirzepatide 72mg/4mL,PRORX03022026@1,02-Mar-2027,2700,11-Mar-2026,11-Mar-2026,11-Mar-2026,9-Mar-2026,9-Mar-2026,,Tirzepatide 36mg/2mL ,5400,
Tirzepatide 72mg/4mL,PRORX03022026@2,02-Mar-2027,2700,11-Mar-2026,11-Mar-2026,11-Mar-2026,9-Mar-2026,9-Mar-2026,,Tirzepatide 45mg/2.5mL,2700,
Tirzepatide 27mg/3mL (colonar),PRORX03022026@3,02-Mar-2027,2700,11-Mar-2026,11-Mar-2026,11-Mar-2026,9-Mar-2026,9-Mar-2026,,Tirzepatide 54mg/3mL ,2700,
Tirzepatide 18mg/4mL,PRORX03022026@4,02-Mar-2027,2700,12-Mar-2026,12-Mar-2026,12-Mar-2026,9-Mar-2026,9-Mar-2026,,Tirzepatide 72mg/4mL ,51300,
Tirzepatide 72mg/4mL,PRORX03032026@1,03-Mar-2027,2700,12-Mar-2026,12-Mar-2026,12-Mar-2026,10-Mar-2026,10-Mar-2026,,Tirzepatide 9mg/mL,5400,
Tirzepatide 72mg/4mL,PRORX03032026@2,03-Mar-2027,2700,12-Mar-2026,12-Mar-2026,12-Mar-2026,10-Mar-2026,10-Mar-2026,,Tri-Mix 1,,
Tirzepatide 9mg/1mL,PRORX03032026@3,03-Mar-2027,2700,12-Mar-2026,12-Mar-2026,12-Mar-2026,10-Mar-2026,10-Mar-2026,,Tri-Mix 2,,
Semaglutide 12.5mg/5mL,PRORX02162026@3,16-Feb-2027,2700,13-Mar-2026,13-Mar-2026,13-Mar-2026,23-Feb-2026,23-Feb-2026,,,,
Semaglutide 12.5mg/5mL,PRORX02162026@4,16-Feb-2027,2700,13-Mar-2026,13-Mar-2026,13-Mar-2026,23-Feb-2026,23-Feb-2026,,,,
Semaglutide 6.75mg/1.5mL,PRORX02172026@4,17-Feb-2026,2700,13-Mar-2026,13-Mar-2026,13-Mar-2026,24-Feb-2026,24-Feb-2026,,,,
Tirzepatide 9mg/1mL,PRORX03032026@4,03-Mar-2027,2700,13-Mar-2026,13-Mar-2026,13-Mar-2026,10-Mar-2026,10-Mar-2026,,,,
NAD+ 1000mg/10mL,PRORX12052025@1,03-Jun-2026,2700,13-Mar-2026,13-Mar-2026,13-Mar-2026,10-Dec-2025,16-Dec-2025,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Released Inventory,,,,,,Batches Made Last 7 Days,21,,,,,
Skus ,Lot,BUD,Qnty Available,,,Batches Pending Release,36,,,,,
Cyanocobalamin 10mg/10mL,,,,,,Vials Pending Release,97200,,,,,
Glutathione 2000mg/10mL ,PRORX01022026@4,07/01/2026,202,,,,,,,,,
Glutathione 6000mg/30mL,PRORX01142026@2,07/14/2026,354,,,Lots in Quarantine,,,,,,
Gonadorelin 10mg/5mL,,,,,,Skus,Lot,Production Date,Qnty,Notes,Solution,Expected Update
Gonadorelin 2mg/mL,,,,,,Tirzepatide 72mg/4mL ,PRORX11212025@1,21-Nov-2025,2700,Crimping Issues. Decrimping had too high of hits,Dispose,28-Jan-2026
Gonadorelin 6mg/6mL,PRORX01212026@2,07/20/2026,594,,,Tirzepatide 72mg/4mL ,PRORX11262025@2,26-Nov-2025,2700,Crimping Issues,Inspect and recrimp,11-Mar-2026
MIC,,,,,,Tirzepatide 72mg/4mL ,PRORX12092025@4,09-Dec-2025,2700,High AQL,Investigation,11-Mar-2026
Nad Sublingual,PRORX10222025@1,04/20/2026,,,,Tirzepatide 54mg/3mL ,PRORX12172025@1,17-Dec-2025,2700,Low Phenol Potency,Reprocess,11-Mar-2026
NAD+ 1000mg/10mL,PRORX11122025@2,05/11/2026,436,,,MIC ,PRORX12172025@3,17-Dec-2025,420,High AQS,Dispose,23-Jan-2026
NAD+ 1200mg/6mL ,PRORX02092026@1,08/08/2026,383,,,Tirzepatide 45mg/2.5mL,PRORX12292025@1,29-Dec-2025,2700,Low Phenol Potency. Plate Hits,Reprocess,11-Mar-2026
